"","Date","hour","corrPrior","corrPred","coh","mse","mseZero"
"1",1291165200,1,0.930500439501158,-0.319006584686728,0.612,3.2960432,2.85766685513545
"2",1291168800,2,0.916377944249747,0.118313510434868,0.568,3.1292184,2.96565949057372
"3",1291172400,3,0.905536083705586,-0.103104011415153,0.596,3.44236224,3.24527492288187
"4",1291176000,4,0.906897110098587,0.0835823911576432,0.596,3.17209744,3.2323874176832
"5",1291179600,5,0.879645223755071,-0.420867992368896,0.612,3.4389136,3.2325131520599
"6",1291183200,6,0.88087137478806,-0.0717817791658518,0.612,3.11753296,3.20409035519002
"7",1291186800,7,0.86680286233886,0.328214864347043,0.64,2.78028768,3.19461608956672
"8",1291190400,8,0.888060695365506,-0.0679526933914162,0.68,3.14978656,3.17314182394343
"9",1291194000,9,0.88959997890732,0.141912644785718,0.74,2.91912512,3.05612858436805
"10",1291197600,10,0.889564124935202,0.457199991913464,0.82,2.348696,2.95978961041597
"11",1291201200,11,0.899784881689244,0.650619064578656,0.884,1.71240928,2.68791166251181
"12",1291204800,12,0.90824050614627,0.571770438044433,0.992,1.81087264,2.49822415731314
"13",1291208400,13,0.910322587817585,0.494433413529838,1.076,1.79127696,2.13834620940898
"14",1291212000,14,0.935268084673407,0.274356272043839,1.12,2.03296112,1.78642635004591
"15",1291215600,15,0.918488087737953,-0.0264538214106772,1.104,1.89720608,1.52823222505956
"16",1291219200,16,0.911802701766412,0.302885449356788,1.08,1.48970992,1.53926457922395
"17",1291222800,17,0.911341203334311,0.199273133633641,1.128,1.75611264,1.53854840214175
"18",1291226400,18,0.907277166280829,-0.0731147642437879,1.156,1.489284,1.3773638344499
"19",1291230000,19,0.94240026853059,-0.252828634766841,1.192,1.63752432,1.42321530320331
"20",1291233600,20,0.929153152373693,0.0290209409798994,1.22,1.50565584,1.41357339174441
"21",1291237200,21,0.919318351113327,0.180954375194724,1.316,1.47797152,1.38763441779233
"22",1291240800,22,0.918641156458138,-0.000501372976885525,1.34,1.44968096,1.17314323031279
"23",1291244400,23,0.925269322548092,0.256508705210735,1.32,1.19174448,1.18505940739499
"24",1291248000,24,0.893660319141358,0.270182103022939,1.32,1.20827408,1.32022117821696
"25",1291251600,1,0.919985249923357,0.434718907726746,1.368,1.0289736,1.2660381000732
"26",1291255200,2,0.937452657318143,0.630394585206032,1.4,0.73264976,1.09719987089516
"27",1291258800,3,0.941860256941088,0.514476463394845,1.5,0.6845432,0.910929287552735
"28",1291262400,4,0.95113636058558,0.171660945383222,1.496,0.70776992,0.673458704210307
"29",1291266000,5,0.957165288701732,0.246516178154007,1.5,0.6283096,0.650723412539093
"30",1291269600,6,0.954017338023504,0.194984183159105,1.472,0.64887184,0.679016792751405
"31",1291273200,7,0.958573764573279,0.0268634583473551,1.46,0.71303808,0.681500615669208
"32",1291276800,8,0.952829993099442,-0.123269869542431,1.448,0.86408096,0.687016792751405
"33",1291280400,9,0.952161044701396,-0.402801626446408,1.392,1.10511296,0.737165323997994
"34",1291284000,10,0.95344609257171,-0.176087526602803,1.348,0.9803784,0.784830032326781
"35",1291287600,11,0.959794574107433,-0.0225892499634219,1.26,0.89098624,0.7852910583747
"36",1291291200,12,0.969821304292982,0.20367506749872,1.192,0.76345408,0.782426350045914
"37",1291294800,13,0.968001545971462,-0.0550509445106005,1.104,0.9166528,0.799813110470538
"38",1291298400,14,0.958279142363614,0.0240648511104479,1.02,1.06561568,0.837577074025278
"39",1291302000,15,0.950317889112772,-0.148045142395889,0.924,1.07409072,0.794038100073197
"40",1291305600,16,0.959822833532926,-0.0119670773027702,0.94,1.03822224,0.821744719860885
"41",1291309200,17,0.962415438232081,0.0484168882442761,0.94,1.0195496,0.817786631319787
"42",1291312800,18,0.970437718366447,-0.184238417717227,0.888,1.02239856,0.82027045423759
"43",1291316400,19,0.974275702682278,0.182214287155034,0.912,0.7876984,0.805367516730769
"44",1291320000,20,0.972229730385246,0.153283001647324,0.908,1.03493632,1.0436910583747
"45",1291323600,21,0.970988972844069,0.0941909485776163,0.888,1.02804928,1.04272709481996
