"","Date","hour","corrPrior","corrPred","coh","mse","mseZero"
"1",954550800,1,0.913372528008842,0.165711825024925,3.268,10.68122896,11.049415386382
"2",954554400,2,0.91321783958018,0.493857659637529,3.192,9.9775592,11.4973241989025
"3",954558000,3,0.92427400310793,0.227297005011605,3.064,10.17853376,10.9742425687175
"4",954561600,4,0.967261429921774,0.0123729744113784,2.868,11.28572016,10.6525057874982
"5",954565200,5,0.972775550515822,0.215246631548896,2.988,10.9523712,10.8127498916898
"6",954568800,6,0.97512323370943,0.339099576694519,3.116,11.4978616,11.0007770740253
"7",954572400,7,0.968254506990239,0.335198928806492,3.056,12.1682896,10.4139851417717
"8",954576000,8,0.969134957691169,0.400820007294239,2.98,12.24340144,10.5141035115867
"9",954579600,9,0.967138327925483,0.397253917095876,2.952,12.07170736,10.3033645376346
"10",954583200,10,0.966878053035604,0.318986418756501,2.836,11.88568784,9.40714761577834
"11",954586800,11,0.959913954952655,0.19279887962251,2.636,10.84741184,9.20077848039464
"12",954590400,12,0.958537027625143,0.205272676321612,2.464,9.78951184,9.20166230331245
"13",954594000,13,0.949326749238528,0.244366125659504,2.38,8.88884448,9.19698803768915
"14",954597600,14,0.931617216921684,0.467020828030663,2.408,8.31533184,9.22970421477135
"15",954601200,15,0.921710451944787,0.166143777107597,2.344,8.48620896,8.15672920437401
"16",954604800,16,0.938565268942572,0.512499075413673,2.372,6.87564416,8.08809685020962
"17",954608400,17,0.933889375140986,0.618019528000731,2.52,4.90986656,7.56768510018233
"18",954612000,18,0.924150368797468,0.353754319824659,2.512,4.78286224,5.69266747514141
"19",954615600,19,0.922478852285482,0.416732870529193,2.416,4.53014672,5.25878145949083
"20",954619200,20,0.926497793249526,0.398272703372166,2.452,4.43660464,5.25486528240863
"21",954622800,21,0.927434659451433,0.39411253824357,2.584,4.0638688,4.86757409492909
"22",954626400,22,0.930903561805921,0.146320851564665,2.6,3.96434048,4.50251157933308
"23",954630000,23,0.936775288690961,-0.0164482594027537,2.548,4.26126368,4.48646966787418
"24",954633600,24,0.931632812804181,-0.00176785834417856,2.664,4.30817808,4.64309833975771
"25",954637200,1,0.945311711712754,0.326438385132169,2.832,3.38842688,4.36646966787418
"26",954640800,2,0.951683989795038,0.281401360857975,2.96,3.07837808,3.69864467827152
"27",954644400,3,0.941258314699471,0.233214298789958,2.836,2.87118384,3.27115498034008
"28",954648000,4,0.94371829505788,0.234961454030493,2.78,2.94067296,3.32589027201129
"29",954651600,5,0.947029114433724,0.233458822993294,2.82,2.92694848,3.21751306888118
"30",954655200,6,0.941549665846001,0.219498322290926,2.848,2.77691104,2.95831675116204
"31",954658800,7,0.947743858321532,0.195813820793137,2.764,2.26997216,2.30417558447719
"32",954662400,8,0.948532461076292,-0.102703200187692,2.792,2.69979632,2.22396602718268
"33",954666000,9,0.940444299297506,-0.492028746225566,2.748,2.82554912,2.11167264697037
"34",954669600,10,0.951172004265987,-0.0197796672260752,2.616,2.4996432,2.39941013137435
"35",954673200,11,0.933554264570339,-0.0271580379991151,2.584,2.28785648,2.43056085535372
"36",954676800,12,0.940107114537424,-0.318600980478579,2.592,2.67009136,2.41131894389482
"37",954680400,13,0.938578076929419,-0.00294196594778475,2.58,2.32906592,2.57931526161395
"38",954684000,14,0.954257107666334,0.0376646782548053,2.588,2.51078976,2.68882775641528
"39",954687600,15,0.950127333075215,0.246383693483253,2.452,2.0696752,2.50490789705222
"40",954691200,16,0.939220166836533,0.234959480082522,2.436,2.70554288,2.5252358241617
"41",954694800,17,0.936508695914099,0.594460639900419,2.324,2.1585816,2.38628361063424
"42",954698400,18,0.940422290432918,0.34220422000417,2.06,2.31945632,2.42733139710678
"43",954702000,19,0.947964159308919,0.547806803477215,1.96,2.51868544,2.49604389190811
"44",954705600,20,0.932704274793155,0.445943410929024,1.952,1.99122848,2.46471447525054
"45",954709200,21,0.917472633802295,0.159946392686017,1.848,2.56169728,2.46395638670944
"46",954712800,22,0.913129308482454,0.128901050558734,1.78,3.12651872,2.87952990755869
"47",954716400,23,0.902708102255843,-0.0694308023804861,1.776,3.55466128,3.39569387111343
"48",954720000,24,0.90838763052541,-0.0575123855531413,1.836,3.88048208,4.03674165758598
"49",954723600,1,0.925000543044353,0.17936960051824,1.776,3.79519216,5.58662767323655
"50",954727200,2,0.918341990997903,0.484731603924694,1.64,4.08643568,5.71176296490777
"51",954730800,3,0.936957036758431,0.384080090786608,1.536,7.74516672,8.7477813763121
"52",954734400,4,0.930781636158441,0.11006793024648,1.568,11.27475728,11.7837997877164
"53",954738000,5,0.94491661629507,0.129640264908159,1.532,14.57075856,15.0658409959907
"54",954741600,6,0.94134361149217,0.517065499779926,1.456,17.38804784,18.589440292806
"55",954745200,7,0.961731691106184,0.581711962603073,1.328,20.45400656,22.0596072354569
"56",954748800,8,0.921676432933326,0.630035079062756,1.308,23.77988464,25.3681741781078
"57",954752400,9,0.951206477976712,0.920580580649875,1.28,21.66590016,27.7065506780533
"58",954756000,10,0.938803491880285,0.622650789669499,1.34,23.98417664,29.5821043811288
"59",954759600,11,0.946842692725204,0.727513027483647,1.352,23.02172208,29.7191705790057
"60",954763200,12,0.959747583755529,0.556430934963615,1.348,25.99400288,30.6293117456905
"61",954766800,13,0.961610722299511,0.544678035761985,1.424,28.95785808,33.2670683446835
"62",954770400,14,0.967384379102253,0.353507844618999,1.492,33.37282656,35.6295411207587
"63",954774000,15,0.960056956895499,0.549027250394096,1.408,34.5280832,38.1154234541285
"64",954777600,16,0.920212364715275,0.489946388167188,1.416,37.6007752,40.8413021052173
"65",954781200,17,0.909408271364,0.572984204759201,1.364,38.75910048,42.4991881208679
"66",954784800,18,0.874976497791987,0.632237882986544,1.384,39.31002192,42.8602359073404
"67",954788400,19,0.874490705650787,0.664300545128403,1.428,41.49340832,45.3710020636279
"68",954792000,20,0.857879797412654,0.50773822202228,1.412,44.20922064,46.1643851417717
"69",954795600,21,0.828305025318652,-0.000820688355088888,1.408,46.76551072,46.6296005740798
"70",954799200,22,0.837991036615139,0.355052045713419,1.52,45.01890352,47.2552770324359
"71",954802800,23,0.884018426265355,-0.178173523700951,1.612,49.36465888,48.2027667303674
"72",954806400,24,0.873657157964671,-0.386132170434245,1.712,54.1486456,48.9019211366276
"73",954810000,1,0.90275630847074,-0.357199742231006,1.892,57.22906384,49.6730755428878
"74",954813600,2,0.878779671345929,-0.639264489634729,1.924,61.52290336,49.56979171997
