"","Date","hour","corrPrior","corrPred","coh","mse","mseZero"
"1",970362000,1,0.973432851389348,-0.148547247872891,106462.714285714,1523643420.08674,872155090.646193
"2",970365600,2,0.976567322623773,0.669306487994367,103993.142857143,1281034841.51509,1174016527.22655
"3",970369200,3,0.992140068593792,-0.114959732967842,102970.285714286,1511912392.0064,2040710394.39352
"4",970372800,4,0.989516494470057,0.588212898523505,109936.571428571,3211866862.56223,2930613539.71836
"5",970376400,5,0.987153684734388,-0.926268218937439,106584,2442801544.68966,3659960553.34199
"6",970380000,6,0.98605265687475,-0.655600101943644,97615.4285714286,1000556807.63537,4228380147.52759
"7",970383600,7,0.975327379036606,-0.684373667903198,91737.7142857143,2063763911.19166,4481172436.45239
"8",970387200,8,0.982011598027089,-0.340262137744699,81455.2857142857,1886316578.822,5058904525.59194
"9",970390800,9,0.985302718778297,0.462604076563289,69914.1428571429,417677621.240914,5594699079.0614
"10",970394400,10,0.985029945491303,0.1559825533189,60425.2857142857,490293675.116914,5798832709.61183
"11",970398000,11,0.980162079778842,-0.825602747485901,47535.4285714286,260205618.812057,5909288814.97523
"12",970401600,12,0.990084618636722,-0.650419104135743,41503.4285714286,255288313.9168,6018241285.4643
"13",970405200,13,0.990861769345355,-0.773422963135401,39535.7142857143,449455222.829429,6376196532.83254
"14",970408800,14,0.989936672585639,-0.351635944960694,34147.4285714286,412457217.802686,6636534222.00636
"15",970412400,15,0.991992225635232,0.429521785126497,30030.7142857143,151138201.673143,6839932481.65926
"16",970416000,16,0.992723403894617,0.783172736947615,28790.2857142857,140198907.796857,6832340758.67394
"17",970419600,17,0.994927826371301,0.0438956060862924,28120.4285714286,214143240.301314,6774798638.31794
"18",970423200,18,0.991490879726411,-0.21900957910741,27402.8571428571,243699095.720286,6672347347.40364
"19",970426800,19,0.969136863651208,0.613792458119001,25061,30869201.8288571,6708703520.58529
"20",970430400,20,0.972764971825175,0.631983319894134,23371.2857142857,53740003.8645143,6555843940.04283
"21",970434000,21,0.985280786466598,0.455218663183374,22052,85032504.8646857,6460557276.67424
"22",970437600,22,0.954103670061104,0.387395781630166,22099.8571428571,134064315.274571,6403610686.5879
"23",970441200,23,0.991698663756531,0.780761092279811,22436.5714285714,10080739.4923429,6202466737.08345
"24",970444800,24,0.983594863264455,0.6888408713433,23056.5714285714,21486715.9012,5994426942.67952
"25",970448400,1,0.964429388313944,0.829751881898786,22827.1428571429,42845223.968,5760869130.27054
"26",970452000,2,0.925778814323953,0.876849970580139,23766.8571428571,21365432.9215429,5221856149.31313
"27",970455600,3,0.922061576768531,0.799742416730443,24355.8571428571,167511065.422229,4796841068.42134
"28",970459200,4,0.965651031692244,0.932924547856866,24709.7142857143,90541118.6794285,4319929998.60682
"29",970462800,5,0.984837645848214,0.436619505765681,26061.1428571429,571058510.3396,4222540283.47625
"30",970466400,6,0.987328210705827,-0.309942735852022,27366.2857142857,296199632.931714,4474544879.70141
"31",970470000,7,0.980300915802991,-0.444688449106437,28923.2857142857,223536786.096686,4594559524.27388
"32",970473600,8,0.991973991113347,-0.788487190457163,33027.1428571429,1442009423.88229,4546653231.24538
"33",970477200,9,0.985903664376681,-0.80657627851164,36202.1428571429,730104182.178229,5052629594.8219
"34",970480800,10,0.982871279644935,-0.21429175994354,39802.8571428571,755000739.081486,5308341190.58762
"35",970484400,11,0.979162901425133,0.513076516013861,40435.1428571429,292877812.606743,5315434335.31837
"36",970488000,12,0.989729295114993,0.796793519671085,38766.8571428571,73694754.2709714,4886397178.09656
"37",970491600,13,0.992557244783352,0.819456883484852,37995.8571428571,58315045.7561143,4249518135.41749
"38",970495200,14,0.987772492828099,0.479669336364622,38346.4285714286,198781912.287886,3921502095.66328
"39",970498800,15,0.969243115361301,0.615644871264549,34450.8571428571,205149441.186571,3671020501.48772
"40",970502400,16,0.978633580585699,0.621289750142975,32419.1428571429,235000554.864971,2884121502.35481
"41",970506000,17,0.974967916541492,0.676729498500028,32353.2857142857,212210792.676857,2244200939.28084
"42",970509600,18,0.976269669216652,0.670647721615846,35766.1428571429,207590099.7168,1880786359.79233
"43",970513200,19,0.981547287124281,0.921013433724835,40746.8571428571,1142150224.18606,1793873898.04387
"44",970516800,20,0.979782592023235,0.813924329514037,43005.1428571429,1470261757.81943,1504613802.59858
"45",970520400,21,0.982496304537599,0.625422297745034,45100.7142857143,2877740827.73063,1073245238.84553
"46",970524000,22,0.982094266703019,-0.235379807729142,52639.1428571429,1877919413.27834,741450055.63922
"47",970527600,23,0.986042028430186,-0.129379311022264,59695.4285714286,1747182793.13486,685272664.416919
