"","Date","hour","corrPrior","corrPred","coh","mse","mseZero"
"1",1044061200,1,0.963531451516551,0.893455120429765,390929,1906485116.23326,38680740722.4204
"2",1044064800,2,0.983391293573993,0.842021776585579,321658.285714286,4655065572.03126,25849746205.5897
"3",1044068400,3,0.969920688708004,0.887350392980802,320767.285714286,8527945118.8496,18639881699.3642
"4",1044072000,4,0.973597672822699,0.943220904180802,315973.285714286,5671481958.79171,11299075779.7776
"5",1044075600,5,0.961176558414843,0.692527231765007,314328,6344625506.87,9083330006.02182
"6",1044079200,6,0.961721573648464,0.500895225986019,310832.285714286,5959499641.85137,5146405706.1796
"7",1044082800,7,0.979475195943853,-0.301490248341324,289801.285714286,4334128166.85554,2303306718.0814
"8",1044086400,8,0.985838201748243,0.753298133494924,249329.428571429,230459427.384229,1560432106.38069
"9",1044090000,9,0.988473896631936,0.28149609529647,219681.285714286,737187259.957486,2781704232.43806
"10",1044093600,10,0.992039839186164,0.532224912168651,192674.857142857,20694220187.7993,28492928364.4335
"11",1044097200,11,0.992254042364683,0.169898035128018,180472,43476267759.1799,57863164931.0696
"12",1044100800,12,0.991616110759843,0.712055560527163,163096.571428571,42719940875.5946,60997676756.3346
"13",1044104400,13,0.993688570459266,0.57436850918804,147318.142857143,92231780124.4747,110814615058.105
"14",1044108000,14,0.987510922429683,0.333650653962437,141815.285714286,92413958180.6725,116219386074.704
"15",1044111600,15,0.983904611513505,0.407315469229991,152832.428571429,79085685859.5247,117148007816.167
"16",1044115200,16,0.997321894845759,0.639414562306562,210945.428571429,29618832967.5137,115972943848.816
"17",1044118800,17,0.996726280811186,0.668114240950687,270077,41326890135.8625,90383407151.2101
"18",1044122400,18,0.978304967341934,0.724250813199773,285456.428571429,34944622744.3653,60888230376.8896
"19",1044126000,19,0.92785825266833,0.890285417134411,362652.857142857,53552499526.0143,57738861958.1167
"20",1044129600,20,0.911469640942731,0.895381045729547,385901.285714286,31413171089.4423,8110207595.06985
"21",1044133200,21,0.962257272743117,0.698106900725892,392432,24839760973.0934,3225349055.68113
"22",1044136800,22,0.941586811863526,0.518934431377239,375483.142857143,18257674729.8627,2327855946.39453
"23",1044140400,23,0.948201792938788,-0.587821625325401,309938.857142857,9670792374.41977,2697353030.09555
"24",1044144000,24,0.996335496634144,-0.633485924747914,240759,5174781821.9368,2807352870.84637
"25",1044147600,1,0.995588290354285,0.123751941551561,211799.285714286,2270937514.52457,2922148765.22096
"26",1044151200,2,0.994522344663379,0.894419378863913,117990.571428571,1063106741.86623,2886869476.70159
"27",1044154800,3,0.994680495987664,0.55529550854607,79806.4285714286,397927205.288571,2896939978.08474
"28",1044158400,4,0.990844520541877,-0.684019178786113,59177.7142857143,272679648.616229,2942251983.71792
"29",1044162000,5,0.990228452149899,-0.870426241205764,54625.8571428571,342458207.718686,3405901936.21793
"30",1044165600,6,0.986652613953607,-0.839139095761124,53219.8571428571,868485616.306343,3684361631.58599
"31",1044169200,7,0.984669220789279,-0.805584892109645,51567.4285714286,1353567125.55594,4072074425.95813
"32",1044172800,8,0.989466498501221,-0.565981427827821,51954,997146351.879714,4476772219.14104
"33",1044176400,9,0.989976296461789,0.680335759082998,51875.4285714286,176703606.399886,4372055054.75625
"34",1044180000,10,0.99542211332407,0.795810267062897,51555.4285714286,114157406.459086,4081808437.00477
"35",1044183600,11,0.99760821131799,0.456595119109627,47891.4285714286,168603655.951143,4119996102.33374
"36",1044187200,12,0.997309441644298,-0.0860276148081355,45720,325189068.7896,4154837354.32224
"37",1044190800,13,0.9961970999502,-0.441554308853765,42266.1428571429,397288852.690343,4414401660.77325
"38",1044194400,14,0.996345439149458,-0.756347783644892,38498.4285714286,633611536.279543,4857572810.69235
"39",1044198000,15,0.995060023026713,-0.92071780759206,39818.7142857143,2163212944.09943,5343531658.79903
"40",1044201600,16,0.994957101455399,-0.269565104622934,42450.1428571429,1480608523.04903,6216527633.12166
"41",1044205200,17,0.989851807127985,-0.899218225630449,42188,1400516790.43914,6964536782.28379
"42",1044208800,18,0.996711875233512,-0.725986072651763,41961.4285714286,1070721760.09686,7213018649.16961
"43",1044212400,19,0.995229575123025,0.129433609255055,40288.4285714286,484565837.961829,7343954752.48143
"44",1044216000,20,0.989603868845101,0.975922781212146,37452.7142857143,257214173.242286,7259057546.32498
"45",1044219600,21,0.999105855744343,0.784314895732095,34330.4285714286,475146257.820457,7156785114.8558
"46",1044223200,22,0.998276344336678,0.268612900104539,27097.7142857143,234232536.007657,7067473493.67218
"47",1044226800,23,0.989952337742,0.388822636847318,21416,39232553.9412,7005419495.19905
"48",1044230400,24,0.989376340467641,0.418325129114718,19848.1428571429,13256632.8149143,6874065426.54513
"49",1044234000,1,0.969619673229871,0.697916745017934,19035.1428571429,29080746.2602286,6548449261.07081
"50",1044237600,2,0.99229124460523,0.715664770801077,19555.2857142857,263209497.831886,5640802269.58446
"51",1044241200,3,0.971944441425261,0.862120710948829,20150,1310297178.02417,4744682954.33334
"52",1044244800,4,0.982352903657352,0.899530416470366,20663.5714285714,2591384784.31777,3791655752.19865
"53",1044248400,5,0.977115534099835,0.944298045565293,21031.2857142857,3599729016.38457,2771417431.73192
"54",1044252000,6,0.986707044920126,0.93341354498282,21823.1428571429,4938375058.8028,2041913705.15015
"55",1044255600,7,0.984710357871598,0.953110754390058,23927.5714285714,4422101157.55166,1399277178.09918
"56",1044259200,8,0.99792068947093,0.559166887317223,32346.2857142857,1827423167.34269,713924713.759993
"57",1044262800,9,0.999649035884474,0.419094962121542,45125.7142857143,189789074.7008,744948740.379658
