"","Date","hour","corrPrior","corrPred","coh","mse","mseZero"
"1",1022893200,1,0.995635832792182,0.883737332877523,15082.8571428571,19163473.8410286,7801372437.06994
"2",1022896800,2,0.961592594172354,0.630946967610478,14002.8571428571,26172789.8719429,7728466134.87002
"3",1022900400,3,0.944155297300987,0.347239268494533,13790.2857142857,14166707.8679428,7730120858.60491
"4",1022904000,4,0.945757169783964,0.0739320084098058,14083.7142857143,21931617.8014857,7659449583.59864
"5",1022907600,5,0.939467202194276,-0.126485710961762,14686,27067083.9554857,7574163669.76003
"6",1022911200,6,0.967728151555292,-0.666261685814914,15448,162731939.836171,7590884313.29456
"7",1022914800,7,0.984884010184693,-0.33437262485393,16404.8571428571,92476913.7652,7636021302.42786
"8",1022918400,8,0.974719374369001,0.311560813954217,16813.8571428571,117866448.288629,7674154413.89977
"9",1022922000,9,0.994943913480505,0.309603727736241,16804.5714285714,9811904.24045714,7673327721.38821
"10",1022925600,10,0.992841975278962,0.33779742869806,17202.5714285714,14053723.1424,7588735758.58733
"11",1022929200,11,0.978426437513124,0.741333970803939,17688.4285714286,18600141.7152571,7404446899.73935
"12",1022932800,12,0.939292856680142,0.905153674856918,17593.1428571429,36316507.3427429,7303615117.88386
"13",1022936400,13,0.968275415391125,0.822148134522884,17334,17443275.9547429,6933228464.97332
"14",1022940000,14,0.944746972635735,0.865180052120354,17112.4285714286,27780194.7526857,6627275334.7556
"15",1022943600,15,0.944718103834107,0.784838155851736,17117.1428571429,12503291.8092571,6363097730.52281
"16",1022947200,16,0.922389583667734,0.595715259668228,17600.8571428571,28287175.6614286,6055715790.84536
"17",1022950800,17,0.990404964581739,0.531848619364239,18704,66575845.7771429,5791892960.66644
"18",1022954400,18,0.981187369181389,0.487998088158837,19304.4285714286,12160119.744,5663074237.31795
"19",1022958000,19,0.986157986152415,0.915178605156105,21620.2857142857,44535462.6828,4975723457.35564
"20",1022961600,20,0.984854572863628,0.892413057948994,23499.1428571429,300686754.143943,4254288743.49919
"21",1022965200,21,0.980392953225841,0.852130681653123,25127.2857142857,832294559.2336,3454208951.1638
"22",1022968800,22,0.969431844189257,0.917650676095384,27024.1428571429,2025277415.31189,2984508518.79653
"23",1022972400,23,0.96411907847117,0.99073616090005,28673.5714285714,4095485674.51137,2393350277.08926
"24",1022976000,24,0.973308046948603,0.857283349835322,29513,5802530446.41097,1928045399.66336
"25",1022979600,1,0.996408597085738,0.83966023204514,34996.7142857143,3714951779.19326,1533367310.26874
"26",1022983200,2,0.998672032082909,0.865203703985181,43736.7142857143,1300205109.27257,1662339176.58792
"27",1022986800,3,0.998790408811134,0.673883312222185,54281.1428571429,958684340.016457,1950997902.81832
"28",1022990400,4,0.997741927593704,0.193642844004995,72058,317394702.607314,2325366016.45689
"29",1022994000,5,0.995690091655265,0.558345335890849,88020.1428571429,65550477.1413714,2459830665.29885
"30",1022997600,6,0.991780097314566,-0.646301255551044,105394.571428571,261642922.912686,2702688932.03475
"31",1023001200,7,0.993534265370979,-0.0519493998298254,123335.285714286,264556673.783943,2552821367.7581
"32",1023004800,8,0.995671810258362,-0.264305818987036,137096.714285714,122250485.674171,2328722703.64993
"33",1023008400,9,0.988760692959111,0.667000296197428,145223.142857143,102214342.131657,2017078929.7901
"34",1023012000,10,0.964374820558562,0.616426802551734,152685.285714286,97909748.1686286,1917504904.91359
"35",1023015600,11,0.962647541377766,0.189861477080999,153944,192536373.634571,2050316433.09748
"36",1023019200,12,0.910170136832096,0.862914434962668,156555.857142857,134177077.701771,1864912666.91444
"37",1023022800,13,0.961945924944057,0.547417856699563,154729.428571429,83183969.6611429,1593353640.91923
"38",1023026400,14,0.969101758907108,-0.573591491224444,152098.142857143,398896195.143943,1728040836.04767
"39",1023030000,15,0.976205559194024,-0.830214858224996,148081.285714286,769826522.2288,2161568673.00035
"40",1023033600,16,0.981883341622367,-0.475959600615136,146897.571428571,932218742.668743,2898497709.16883
"41",1023037200,17,0.984742886406795,-0.68748706434744,148096.285714286,853149322.118457,3710421432.30532
"42",1023040800,18,0.995425606848111,-0.746520775442488,146297,746450518.272286,3470423677.95376
"43",1023044400,19,0.974038924002527,-0.233457931946518,143286,985656505.259714,3597820721.11014
"44",1023048000,20,0.985332251912946,-0.574463101979964,144950.428571429,1487317497.04731,4873918024.65543
"45",1023051600,21,0.977942816657257,-0.193871010864043,149384,1220129858.96149,6766665568.06057
"46",1023055200,22,0.979632269204491,0.746032444061481,156702.428571429,643752023.276914,8409127930.90519
"47",1023058800,23,0.992627465356122,0.588411047609244,163341,753787094.216685,9348506571.08082
"48",1023062400,24,0.981763972179441,-0.0143095637226735,161007.571428571,3347332915.48834,9378794594.65913
"49",1023066000,1,0.983341755410688,0.184357571702718,162289,2995231816.00743,9826297891.69736
"50",1023069600,2,0.98618156917747,0.344763987919807,171728.428571429,1137485118.55611,9463534241.40878
