"","Date","hour","corrPrior","corrPred","coh","mse","mseZero"
"1",1225501200,1,0.990811113625867,0.385227180676972,118564.285714286,124952814.145714,116633986.610009
"2",1225504800,2,0.992577783412876,0.57676139189707,116756.571428571,376295366.1628,122245942.391945
"3",1225508400,3,0.992120723076325,0.153434980280985,106901.571428571,367110908.923943,422264592.415681
"4",1225512000,4,0.983836266348412,0.514666086967592,101869.571428571,591203537.132629,731302865.443507
"5",1225515600,5,0.995389349364293,0.815443603264759,100696.714285714,716981298.135028,773620172.717255
"6",1225519200,6,0.98996783218648,0.57920750168595,103562.142857143,890691025.6836,777857928.935074
"7",1225522800,7,0.991627909505971,0.107348066741107,104066.714285714,1433359056.03994,1329691625.21412
"8",1225526400,8,0.995038826809726,0.449355650197703,102099,1213436959.12371,1988723682.08309
"9",1225530000,9,0.995605480386701,-0.335699280330455,95337.7142857143,1305997931.5392,2443515669.60242
"10",1225533600,10,0.996525440815116,0.0602068112817868,91229.8571428571,532182231.364629,2167540022.56011
"11",1225537200,11,0.989277758693324,-0.0457054034977352,89713,1070749952.912,1926084713.56564
"12",1225540800,12,0.993352797626308,0.0948255830063609,86576.2857142857,1603739306.43543,1973016210.49929
"13",1225544400,13,0.988075026279221,0.8507643852556,76554.4285714286,224968607.116914,2055791365.59072
"14",1225548000,14,0.994238564764162,0.856030909508041,66474.7142857143,428282087.4792,1645180702.60003
"15",1225551600,15,0.98782627002677,0.377179815556359,59514.8571428571,519205563.749657,1108982901.26805
"16",1225555200,16,0.998106271791432,-0.642625632499455,64199.7142857143,477501619.950857,971476021.189578
"17",1225558800,17,0.992260071306839,0.410466023816847,67080.2857142857,248803612.683943,1422404297.83679
"18",1225562400,18,0.993024089165685,0.063815228085547,66053.4285714286,464436146.121943,1826962491.30286
"19",1225566000,19,0.993557568256557,0.313373091123871,63897.7142857143,292143918.729029,2123203226.36911
"20",1225569600,20,0.99050380520791,0.387545256646147,68222.5714285714,283661104.784914,2389645240.1437
"21",1225573200,21,0.988259485755083,-0.124438302864459,73727.2857142857,552230192.264,2599091842.00502
"22",1225576800,22,0.983580032778736,0.118521456035258,75038.2857142857,119753761.117543,2856300823.56331
"23",1225580400,23,0.995235223584779,0.64833307570136,68663.5714285714,99711883.1944571,2976935578.87094
"24",1225584000,24,0.998806906847698,0.397865540798013,64352.2857142857,59676237.0566857,3088295641.25651
"25",1225587600,1,0.997151821527186,0.117716449647972,60607.4285714286,142588008.852343,2719991229.82764
"26",1225591200,2,0.995782154415991,-0.1185230865345,57171.2857142857,182864047.896857,2950751896.13427
"27",1225594800,3,0.996052390601148,-0.328212776689383,54631,250943956.898057,3227003045.92354
"28",1225598400,4,0.989713143978049,-0.133235308993462,51458.7142857143,155369911.942857,3070274249.33039
"29",1225602000,5,0.978273312453248,0.198204384239062,50297,217862294.937429,2844478212.63431
"30",1225605600,6,0.998568760878423,0.52641595036546,49382.4285714286,388572070.219314,2538688238.98156
"31",1225609200,7,0.986649460187432,0.628435916920016,53156,344461808.229371,1959518605.30249
"32",1225612800,8,0.993687934024652,0.885153075026417,51215.2857142857,397869661.265143,1885617618.2147
"33",1225616400,9,0.99027996962596,0.556254044603395,48873.8571428571,733902316.909429,1423157110.66019
"34",1225620000,10,0.994475208899656,-0.0150762466789094,50660.4285714286,173873554.1264,928215287.024359
"35",1225623600,11,0.976118739811995,0.481558840955869,53329.2857142857,108846080.127486,1052083691.9934
"36",1225627200,12,0.981435588059656,-0.400097006941195,56823.4285714286,227689546.137429,1087023953.42201
"37",1225630800,13,0.984131541101115,0.26219280261241,64944.7142857143,324934042.1024,1067203267.82355
"38",1225634400,14,0.99208297655064,-0.0890266087428462,66118.2857142857,1001709552.60371,1272967194.79381
"39",1225638000,15,0.985116935054014,0.203844579066337,70734.8571428571,310935909.593486,1405269991.88717
"40",1225641600,16,0.991005347285178,-0.185830009692032,75705,131972066.880971,1487896397.291
"41",1225645200,17,0.992108735169409,-0.155729032324739,74254.1428571429,72585111.0571428,1576636855.75447
"42",1225648800,18,0.986394681926186,0.299492634704059,73751,43258312.7338857,1375522930.54116
"43",1225652400,19,0.978364120257441,0.194581582143832,74077.1428571429,141924986.475771,1298686521.04646
"44",1225656000,20,0.97746595409255,0.904780880829182,69591.1428571429,28168782.3037143,1233242928.47557
"45",1225659600,21,0.982618938558657,0.869584854818835,67654.4285714286,25106020.2156572,1119374990.64141
"46",1225663200,22,0.989490954939118,-0.105788843265907,66560.2857142857,168862346.248286,1150936179.36051
"47",1225666800,23,0.99415852806018,-0.117403396785789,65349.1428571429,122546233.783657,1026773740.6843
"48",1225670400,24,0.986226064101294,-0.301567304558705,67950,303402688.958343,1138805381.4953
"49",1225674000,1,0.989423229063023,0.561898399932227,69138.5714285714,158133560.238971,1394682655.40826
"50",1225677600,2,0.994598605994478,-0.401724039039811,70469.4285714286,479435201.066457,1395900945.35943
"51",1225681200,3,0.995281850675331,0.483688068861046,72221,126183634.579029,1424913093.85465
"52",1225684800,4,0.991959589966811,0.674294652607772,71847.4285714286,81346926.1368572,1517160191.06009
"53",1225688400,5,0.98227255011662,0.0854231451413839,73598.1428571429,181874474.013886,1747810591.26956
"54",1225692000,6,0.982249227084775,-0.498688666638448,72359.1428571429,249094980.242286,2306455876.20584
