"","Date","hour","corrPrior","corrPred","coh","mse","mseZero"
"1",1185930000,1,0.985279232638206,-0.290244447299244,170069.571428571,4460146257.8704,15066532086.5866
"2",1185933600,2,0.986179834984145,0.099393302517163,177271.285714286,4768630375.02297,16197195224.8702
"3",1185937200,3,0.991937035177262,0.532152944155413,194104.571428571,2161411703.57429,17343145563.6545
"4",1185940800,4,0.983042874772389,0.562618385309956,223666.857142857,881872514.010514,17002732799.3954
"5",1185944400,5,0.987106936275418,-0.855379225164775,223414.285714286,1800040291.33434,14011519852.8492
"6",1185948000,6,0.963016589728246,-0.062143271552834,220222.285714286,716817036.484514,14649390426.7615
"7",1185951600,7,0.97888085724776,-0.103001784794154,219944.571428571,825545484.152171,15226284472.3382
"8",1185955200,8,0.985893113763206,0.118108148859091,226177.142857143,338451280.162286,15653579909.0794
"9",1185958800,9,0.963745261957848,-0.287042321542726,232251.428571429,989050443.879086,14214304892.8799
"10",1185962400,10,0.983141521409476,-0.424858947615155,230967.714285714,1578029833.34806,13037483822.4241
"11",1185966000,11,0.980118774636526,0.631278668978771,222088.285714286,948352147.086057,11861497547.0169
"12",1185969600,12,0.995036092542415,0.257446318465029,225396.142857143,1205060745.75909,9631731692.74588
"13",1185973200,13,0.953250589529146,0.762006823926253,227611.285714286,1608012778.1676,8291951499.99245
"14",1185976800,14,0.979031895623862,0.573188125576461,229297.714285714,4229241493.69211,5612582529.02949
"15",1185980400,15,0.981033952121677,0.535552536025103,220487.857142857,2213285509.34057,3214444367.99293
"16",1185984000,16,0.983407546543034,0.597134425049235,214200.142857143,3839651414.52874,3020942283.9759
"17",1185987600,17,0.970024975013731,0.880667304952401,208818.571428571,6702818076.87149,2492160833.78244
"18",1185991200,18,0.977531602921925,0.139068942306365,197351,5981482196.61366,1354984286.61124
"19",1185994800,19,0.983790702431672,-0.0494728300057115,188751.142857143,5211944902.60777,939118827.285808
"20",1185998400,20,0.984285607984326,0.139250285487497,166651.428571429,1033162162.33731,801237619.969975
"21",1186002000,21,0.996308120017141,0.198293558926435,143687.571428571,496302707.869714,962568683.731872
"22",1186005600,22,0.997119032582183,0.429530193216338,131410.285714286,407445933.685886,853321492.11792
"23",1186009200,23,0.998093491481491,0.329194674126429,115799.571428571,424883132.803657,677551632.141871
